id,name,class
1,"""00045719""",000463
2,"""00045712""",000463
3,"""00045720""",000463
4,"""00045721""",000463
5,"""00045710""",000463
6,"""00045713""",000463
7,"""00045717""",000463
8,"""00045711""",000463
9,"""00045715""",000463
10,"""00045724""",000463
11,"""00045718""",000463
12,"""00045725""",000463
13,"""00045722""",000463
14,"""00045726""",000463
15,"""00045727""",000463
16,"""00045716""",000463
17,"""00045723""",000463
18,"""00045714""",000463
19,"""00045671""",000462
20,"""00045697""",000462
21,"""00045690""",000462
22,"""00045654""",000462
23,"""00045687""",000462
24,"""00045689""",000462
25,"""00045658""",000462
26,"""00045660""",000462
27,"""00045625""",000462
28,"""00045626""",000462
29,"""00045647""",000462
30,"""00045705""",000462
31,"""00045640""",000462
32,"""00045700""",000462
33,"""00045691""",000462
34,"""00045674""",000462
35,"""00045628""",000462
36,"""00045639""",000462
37,"""00045630""",000462
38,"""00045703""",000462
39,"""00045662""",000462
40,"""00045677""",000462
41,"""00045641""",000462
42,"""00045669""",000462
43,"""00045686""",000462
44,"""00045656""",000462
45,"""00045649""",000462
46,"""00045621""",000462
47,"""00045675""",000462
48,"""00045659""",000462
49,"""00045695""",000462
50,"""00045670""",000462
51,"""00045682""",000462
52,"""00045679""",000462
53,"""00045634""",000462
54,"""00045650""",000462
55,"""00045708""",000462
56,"""00045623""",000462
57,"""00045638""",000462
58,"""00045627""",000462
59,"""00045663""",000462
60,"""00045665""",000462
61,"""00045707""",000462
62,"""00045637""",000462
63,"""00045681""",000462
64,"""00045631""",000462
65,"""00045696""",000462
66,"""00045694""",000462
67,"""00045692""",000462
68,"""00045704""",000462
69,"""00045666""",000462
70,"""00045680""",000462
71,"""00045664""",000462
72,"""00045661""",000462
73,"""00045622""",000462
74,"""00045699""",000462
75,"""00045688""",000462
76,"""00045643""",000462
77,"""00045624""",000462
78,"""00045685""",000462
79,"""00045657""",000462
80,"""00045668""",000462
81,"""00045629""",000462
82,"""00045684""",000462
83,"""00045619""",000462
84,"""00045676""",000462
85,"""00045672""",000462
86,"""00045702""",000462
87,"""00045709""",000462
88,"""00045618""",000462
89,"""00045644""",000462
90,"""00045648""",000462
91,"""00045652""",000462
92,"""00045635""",000462
93,"""00045673""",000462
94,"""00045646""",000462
95,"""00045653""",000462
96,"""00045645""",000462
97,"""00045706""",000462
98,"""00045667""",000462
99,"""00045683""",000462
100,"""00045620""",000462
101,"""00045655""",000462
102,"""00045698""",000462
103,"""00045636""",000462
104,"""00045633""",000462
105,"""00045651""",000462
106,"""00045678""",000462
107,"""00045642""",000462
108,"""00045693""",000462
109,"""00045701""",000462
110,"""00045632""",000462
111,"""00045468""",000458
112,"""00045379""",000458
113,"""00045446""",000458
114,"""00045390""",000458
115,"""00045396""",000458
116,"""00045511""",000458
117,"""00045407""",000458
118,"""00045458""",000458
119,"""00045413""",000458
120,"""00045474""",000458
121,"""00045438""",000458
122,"""00045409""",000458
123,"""00045484""",000458
124,"""00045440""",000458
125,"""00045423""",000458
126,"""00045329""",000458
127,"""00045416""",000458
128,"""00045401""",000458
129,"""00045338""",000458
130,"""00045328""",000458
131,"""00045505""",000458
132,"""00045509""",000458
133,"""00045487""",000458
134,"""00045436""",000458
135,"""00045359""",000458
136,"""00045500""",000458
137,"""00045334""",000458
138,"""00045470""",000458
139,"""00045339""",000458
140,"""00045365""",000458
141,"""00045321""",000458
142,"""00045374""",000458
143,"""00045405""",000458
144,"""00045506""",000458
145,"""00045386""",000458
146,"""00045471""",000458
147,"""00045480""",000458
148,"""00045397""",000458
149,"""00045495""",000458
150,"""00045466""",000458
151,"""00045323""",000458
152,"""00045384""",000458
153,"""00045364""",000458
154,"""00045380""",000458
155,"""00045461""",000458
156,"""00045425""",000458
157,"""00045465""",000458
158,"""00045320""",000458
159,"""00045516""",000458
160,"""00045385""",000458
161,"""00045464""",000458
162,"""00045326""",000458
163,"""00045325""",000458
164,"""00045406""",000458
165,"""00045453""",000458
166,"""00045377""",000458
167,"""00045444""",000458
168,"""00045335""",000458
169,"""00045463""",000458
170,"""00045343""",000458
171,"""00045393""",000458
172,"""00045363""",000458
173,"""00045502""",000458
174,"""00045449""",000458
175,"""00045437""",000458
176,"""00045492""",000458
177,"""00045358""",000458
178,"""00045427""",000458
179,"""00045417""",000458
180,"""00045501""",000458
181,"""00045451""",000458
182,"""00045473""",000458
183,"""00045371""",000458
184,"""00045350""",000458
185,"""00045369""",000458
186,"""00045434""",000458
187,"""00045483""",000458
188,"""00045419""",000458
189,"""00045368""",000458
190,"""00045431""",000458
191,"""00045352""",000458
192,"""00045412""",000458
193,"""00045433""",000458
194,"""00045441""",000458
195,"""00045351""",000458
196,"""00045477""",000458
197,"""00045391""",000458
198,"""00045476""",000458
199,"""00045367""",000458
200,"""00045469""",000458
201,"""00045344""",000458
202,"""00045332""",000458
203,"""00045459""",000458
204,"""00045442""",000458
205,"""00045467""",000458
206,"""00045475""",000458
207,"""00045485""",000458
208,"""00045341""",000458
209,"""00045439""",000458
210,"""00045395""",000458
211,"""00045340""",000458
212,"""00045432""",000458
213,"""00045324""",000458
214,"""00045478""",000458
215,"""00045331""",000458
216,"""00045424""",000458
217,"""00045496""",000458
218,"""00045514""",000458
219,"""00045486""",000458
220,"""00045517""",000458
221,"""00045345""",000458
222,"""00045504""",000458
223,"""00045322""",000458
224,"""00045472""",000458
225,"""00045366""",000458
226,"""00045489""",000458
227,"""00045408""",000458
228,"""00045428""",000458
229,"""00045488""",000458
230,"""00045430""",000458
231,"""00045418""",000458
232,"""00045491""",000458
233,"""00045402""",000458
234,"""00045356""",000458
235,"""00045381""",000458
236,"""00045404""",000458
237,"""00045503""",000458
238,"""00045360""",000458
239,"""00045410""",000458
240,"""00045330""",000458
241,"""00045456""",000458
242,"""00045357""",000458
243,"""00045455""",000458
244,"""00045336""",000458
245,"""00045382""",000458
246,"""00045447""",000458
247,"""00045420""",000458
248,"""00045398""",000458
249,"""00045426""",000458
250,"""00045349""",000458
251,"""00045508""",000458
252,"""00045460""",000458
253,"""00045372""",000458
254,"""00045435""",000458
255,"""00045443""",000458
256,"""00045452""",000458
257,"""00045497""",000458
258,"""00045337""",000458
259,"""00045429""",000458
260,"""00045494""",000458
261,"""00045383""",000458
262,"""00045318""",000458
263,"""00045513""",000458
264,"""00045354""",000458
265,"""00045518""",000458
266,"""00045333""",000458
267,"""00045389""",000458
268,"""00045462""",000458
269,"""00045362""",000458
270,"""00045400""",000458
271,"""00045376""",000458
272,"""00045353""",000458
273,"""00045507""",000458
274,"""00045375""",000458
275,"""00045515""",000458
276,"""00045457""",000458
277,"""00045394""",000458
278,"""00045319""",000458
279,"""00045378""",000458
280,"""00045415""",000458
281,"""00045403""",000458
282,"""00045346""",000458
283,"""00045445""",000458
284,"""00045490""",000458
285,"""00045512""",000458
286,"""00045361""",000458
287,"""00045355""",000458
288,"""00045411""",000458
289,"""00045392""",000458
290,"""00045498""",000458
291,"""00045414""",000458
292,"""00045450""",000458
293,"""00045510""",000458
